Company,Title,Disc,Link
DATATRONiQ,"

",🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/companies/datatroniq/
Climatiq,Data Engineer – Climate Tech – Python,"About Climatiq We are a fast-growing climate tech startup on a mission to drive climate action through data and insight. Our team consists of entrepreneurs, technologists, and scientists who have come from backgrounds such as Google, MIT, and other leading companies and academic institutions. Together, we are building a tech platform that empowers organizations to...",https://berlinstartupjobs.com/companies/climatiq/
Climatiq,Machine Learning Engineer (NLP) – Climate Tech,"About Climatiq We are a fast-growing climate tech startup on a mission to drive climate action through data and insight. Our team consists of entrepreneurs, technologists, and scientists who have come from backgrounds such as Google, MIT, and other leading companies and academic institutions. Together, we are building a tech platform that empowers organizations to...",https://berlinstartupjobs.com/companies/climatiq/
Climatiq,Senior Full Stack Engineer – Climate Tech – Rust & TypeScript,"About Climatiq We are a fast-growing climate tech startup on a mission to drive climate action through data and insight. Our team consists of entrepreneurs, technologists, and scientists who have come from backgrounds such as Google, MIT, and other leading companies and academic institutions. Together, we are building a tech platform that empowers organizations to...",https://berlinstartupjobs.com/companies/climatiq/
Nelly Solutions,"(Senior) Fullstack Engineer, TypeScript","We’re on the lookout for an ambitious Fullstack Typescript Engineer to join our team of engineers at our office in Berlin. Come make an impact at this early stage  and well-funded medical fintech! About Nelly At Nelly, we streamline practice management and eliminate paper chaos. Our digital solutions include patient check-in, real-time document handling, and...",https://berlinstartupjobs.com/companies/nelly-solutions/
Kuro,Founding Software Engineer,"tl;dr Kuro is building the AI automation platform for the back-office of construction companies. Our applied AI product is already live at leading construction enterprises, delivering a 90% efficiency increase. We are looking for a founding software engineer to help us build out our platform in Berlin. Berlin, 80k€ +/- 20% (based on experience), 0.5%...",https://berlinstartupjobs.com/companies/kuro/
Softwaregini,Senior Frontend Engineer (m/f/d),"Join Softwaregini, a fast-growing and well-funded B2B SaaS disruptor revolutionizing how companies select and manage their software portfolios. Tasks As a frontend engineer, you’ll work directly with our CTO, David, to develop robust systems and user interfaces driving our business forward. Collaborate closely with our team to understand business requirements and translate them into technical...",https://berlinstartupjobs.com/companies/softwaregini/
bcause,Backend Developer,"bcause pioneers foundations-as-a-service, allowing everyone to become a philanthropist. We build a transaction platform and community for those who want to fund key causes of our time, with donations, loans, and equity. What we are looking for: Minimum 4 years experience of professional backend development Profound knowledge of Golang and associated libraries Experience with relational...",https://berlinstartupjobs.com/companies/bcause/
Popcorn Labs,Flutter developer [Remote],"🍿 We are Popcorn Global connectivity, minus the roaming fees. We’re rethinking how people stay connected without the hassle and limitations of traditional telcos. A telco built for tomorrow. Software-first and AI-native, designed to feel modern and harness the latest in Earth and space tech. Momentum speaks volumes. With thousands on our waitlist and a live alpha, we’re...",https://berlinstartupjobs.com/companies/popcorn-labs/
Hygraph,Solution Architect (f/m/d),"How you will make an impact As a Solution Architect at Hygraph, you will play a vital role in shaping how Hygraph proactively interacts, consults, and advises its customers globally, especially in the EMEA market. In this role, you will collaborate closely with a diverse global team within Hygraph including other Solution Architects, and commercial...",https://berlinstartupjobs.com/companies/hygraph/
